codigo_wmo,uf,regiao,mes,precipitacao_total_mm,temp_media_c,temp_max_c,temp_min_c,umidade_media_pct
A001,DF,CO,2025-01,198.60,21.82,30.10,16.30,81.6
A001,DF,CO,2025-02,97.80,22.79,32.60,15.60,70.6
A001,DF,CO,2025-03,120.80,22.82,31.90,15.90,71.8
A001,DF,CO,2025-04,78.20,22.09,29.50,17.10,79.2
A001,DF,CO,2025-05,1.60,20.06,27.80,11.90,73.2
A001,DF,CO,2025-06,0.00,19.62,28.70,10.70,65.8
A001,DF,CO,2025-07,0.00,19.21,28.80,10.10,54.5
A001,DF,CO,2025-08,0.00,21.60,30.30,7.60,41.7
A001,DF,CO,2025-09,10.80,23.53,33.60,14.20,44.8
A001,DF,CO,2025-10,108.40,23.75,34.20,13.60,50.8
A001,DF,CO,2025-11,275.00,22.86,31.60,15.20,70.7
A001,DF,CO,2025-12,181.40,21.96,31.60,16.40,78.6
A042,DF,CO,2025-01,302.40,21.73,30.30,16.70,79.9
A042,DF,CO,2025-02,137.00,22.66,30.80,17.10,67.7
A042,DF,CO,2025-03,101.40,22.91,31.50,17.10,68.6
A042,DF,CO,2025-04,126.20,22.36,30.20,17.20,74.5
A042,DF,CO,2025-05,42.60,20.58,28.90,14.30,67.2
A042,DF,CO,2025-06,0.00,20.40,28.20,12.70,58.4
A042,DF,CO,2025-07,0.00,20.25,28.60,12.50,46.5
A042,DF,CO,2025-08,0.00,22.11,30.50,12.40,36.0
A042,DF,CO,2025-09,59.00,23.77,33.30,14.80,41.3
A042,DF,CO,2025-10,58.00,23.58,33.20,13.40,48.4
A042,DF,CO,2025-11,282.80,22.73,31.70,16.20,68.0
A042,DF,CO,2025-12,154.20,21.49,31.20,16.80,77.8
A045,DF,CO,2025-01,541.60,22.02,32.00,15.30,81.5
A045,DF,CO,2025-02,89.20,22.82,32.40,13.20,70.6
A045,DF,CO,2025-03,50.20,22.99,33.40,13.80,70.8
A045,DF,CO,2025-04,152.40,22.34,31.60,15.50,78.1
A045,DF,CO,2025-05,4.60,20.25,30.30,11.40,72.9
A045,DF,CO,2025-06,0.00,19.37,30.70,7.80,67.4
A045,DF,CO,2025-07,0.00,19.33,31.20,8.70,54.7
A045,DF,CO,2025-08,0.00,21.15,32.30,6.70,45.1
A045,DF,CO,2025-09,10.80,23.50,35.90,11.80,44.8
A045,DF,CO,2025-10,60.00,23.73,35.40,13.00,50.1
A045,DF,CO,2025-11,256.00,22.82,34.20,14.20,70.3
A045,DF,CO,2025-12,244.80,21.73,34.00,13.80,79.6
A046,DF,CO,2025-01,306.00,22.54,32.30,16.10,76.9
A046,DF,CO,2025-02,63.40,23.27,32.20,14.70,67.1
A046,DF,CO,2025-03,82.40,23.47,33.00,16.40,67.1
A046,DF,CO,2025-04,90.00,22.59,31.40,16.20,74.7
A046,DF,CO,2025-05,0.00,20.88,30.00,12.70,66.4
A046,DF,CO,2025-06,1.40,20.18,30.00,8.80,60.7
A046,DF,CO,2025-07,0.00,20.13,30.50,8.40,48.5
A046,DF,CO,2025-08,2.60,22.09,32.20,5.80,37.6
A046,DF,CO,2025-09,11.40,24.35,34.70,12.60,39.7
A046,DF,CO,2025-10,46.80,24.69,35.80,14.70,45.4
A046,DF,CO,2025-11,173.20,23.89,33.40,14.20,62.9
A046,DF,CO,2025-12,231.40,22.70,32.90,15.70,72.4
A047,DF,CO,2025-01,383.00,22.28,31.10,17.50,85.2
A047,DF,CO,2025-02,85.60,23.03,31.20,17.00,73.9
A047,DF,CO,2025-03,124.20,23.44,33.60,16.30,72.2
A047,DF,CO,2025-04,106.60,22.66,30.40,16.50,81.8
A047,DF,CO,2025-05,26.00,19.95,28.60,13.00,78.2
A047,DF,CO,2025-06,0.00,19.65,29.00,10.90,70.1
A047,DF,CO,2025-07,0.00,19.52,30.00,11.30,56.9
A047,DF,CO,2025-08,0.00,21.04,30.50,10.80,47.3
A047,DF,CO,2025-09,39.20,23.17,34.10,12.40,49.6
A047,DF,CO,2025-10,63.20,23.23,34.70,12.60,57.0
A047,DF,CO,2025-11,157.40,23.33,33.30,16.80,72.1
A047,DF,CO,2025-12,393.60,22.23,32.00,16.80,82.7
A002,GO,CO,2025-01,315.40,24.57,34.80,19.30,75.2
A002,GO,CO,2025-02,256.60,24.33,35.30,17.70,72.9
A002,GO,CO,2025-03,63.60,25.33,35.10,18.40,68.4
A002,GO,CO,2025-04,149.60,24.61,34.60,18.60,74.1
A002,GO,CO,2025-05,74.40,22.40,32.90,12.60,66.4
A002,GO,CO,2025-06,12.60,22.00,32.10,11.40,61.1
A002,GO,CO,2025-07,0.00,21.31,33.80,10.70,52.3
A002,GO,CO,2025-08,0.00,23.86,35.80,6.90,38.5
A002,GO,CO,2025-09,0.00,26.48,33.40,18.40,32.6
A002,GO,CO,2025-12,203.40,24.80,35.40,19.40,72.0
A003,GO,CO,2025-01,189.80,24.36,33.40,17.50,77.5
A003,GO,CO,2025-02,130.00,24.43,34.10,17.20,73.5
A003,GO,CO,2025-03,137.80,25.07,35.80,16.50,68.6
A003,GO,CO,2025-04,145.00,23.90,33.60,18.10,77.8
A003,GO,CO,2025-05,2.00,20.95,31.50,11.10,71.6
A003,GO,CO,2025-06,13.80,20.43,32.40,11.00,66.3
A003,GO,CO,2025-07,0.80,19.53,32.80,7.30,58.9
A003,GO,CO,2025-08,2.00,21.76,34.20,5.30,44.2
A003,GO,CO,2025-09,51.40,25.05,36.40,13.50,43.5
A003,GO,CO,2025-10,43.80,25.51,37.90,15.80,51.4
A003,GO,CO,2025-11,171.20,25.43,35.90,15.20,61.5
A003,GO,CO,2025-12,200.20,24.59,34.80,18.90,73.5
A005,GO,CO,2025-01,378.00,25.55,36.10,20.40,85.1
A005,GO,CO,2025-02,172.40,26.27,37.00,20.30,79.4
A005,GO,CO,2025-03,218.20,27.02,36.40,20.50,78.1
A005,GO,CO,2025-04,117.20,26.76,36.70,21.70,80.9
A005,GO,CO,2025-05,0.80,26.73,35.70,18.30,65.0
A005,GO,CO,2025-06,0.00,26.12,35.90,16.00,56.7
A005,GO,CO,2025-07,0.00,26.00,36.60,15.70,45.5
A005,GO,CO,2025-08,0.00,28.08,38.30,16.20,37.0
A005,GO,CO,2025-09,17.20,29.72,41.00,19.30,41.2
A005,GO,CO,2025-10,35.00,29.57,41.00,20.70,48.0
A005,GO,CO,2025-11,165.60,27.66,38.10,20.70,69.9
A005,GO,CO,2025-12,282.80,26.05,37.30,20.30,79.9
A011,GO,CO,2025-01,214.60,26.03,35.80,19.80,74.6
A011,GO,CO,2025-02,124.00,25.74,35.90,18.70,74.2
A011,GO,CO,2025-03,53.20,26.87,35.70,20.00,67.5
A011,GO,CO,2025-04,105.00,24.93,34.60,17.50,76.9
A011,GO,CO,2025-05,16.20,22.89,32.50,10.60,67.3
A011,GO,CO,2025-06,19.20,21.94,32.20,7.90,64.1
A011,GO,CO,2025-07,0.20,21.36,34.00,9.30,53.6
A011,GO,CO,2025-08,8.20,22.99,36.20,8.70,43.6
A011,GO,CO,2025-09,22.60,27.20,38.70,16.50,40.2
A011,GO,CO,2025-10,67.60,26.49,39.60,14.60,54.1
A011,GO,CO,2025-11,89.40,26.58,37.50,16.90,58.2
A011,GO,CO,2025-12,157.80,26.35,37.20,19.90,72.4
A012,GO,CO,2025-01,180.20,23.03,31.90,17.50,76.2
A012,GO,CO,2025-02,0.00,23.96,33.10,17.20,64.7
A012,GO,CO,2025-03,0.00,24.24,34.50,17.50,63.4
A012,GO,CO,2025-04,0.00,23.26,31.80,16.90,73.0
A012,GO,CO,2025-05,0.00,20.88,29.90,13.80,67.7
A012,GO,CO,2025-06,0.00,20.75,30.20,12.00,59.5
A012,GO,CO,2025-07,0.00,20.34,30.30,11.90,47.9
A012,GO,CO,2025-08,0.00,22.29,32.00,11.50,37.2
A012,GO,CO,2025-09,0.00,24.51,35.90,15.10,39.8
A012,GO,CO,2025-10,27.60,24.65,36.20,13.90,45.9
A012,GO,CO,2025-11,255.80,24.10,33.90,16.90,62.7
A012,GO,CO,2025-12,252.40,23.10,33.30,17.90,72.2
A013,GO,CO,2025-01,346.00,26.89,37.10,21.10,81.9
A013,GO,CO,2025-02,209.60,27.23,37.80,21.40,76.4
A013,GO,CO,2025-03,72.00,27.96,37.30,22.30,73.0
A013,GO,CO,2025-04,108.40,,,,79.1
A013,GO,CO,2025-05,21.80,,,,70.1
A013,GO,CO,2025-06,15.40,,,,68.2
A013,GO,CO,2025-07,0.00,,,,58.9
A013,GO,CO,2025-08,0.00,,,,45.6
A013,GO,CO,2025-09,2.40,,,,42.7
A013,GO,CO,2025-10,54.40,,,,52.2
A013,GO,CO,2025-11,75.60,,,,65.8
A013,GO,CO,2025-12,116.40,,,,79.8
A014,GO,CO,2025-01,340.40,25.19,37.50,19.80,80.0
A014,GO,CO,2025-02,266.80,25.49,35.80,19.00,73.3
A014,GO,CO,2025-03,235.20,26.30,36.00,19.00,70.5
A014,GO,CO,2025-04,41.00,26.00,35.90,20.30,74.2
A014,GO,CO,2025-05,17.20,25.04,35.80,14.80,60.7
A014,GO,CO,2025-06,12.20,24.54,34.40,16.00,55.7
A014,GO,CO,2025-07,0.00,24.20,35.90,15.20,45.1
A014,GO,CO,2025-08,0.00,26.75,39.50,15.60,31.5
A014,GO,CO,2025-09,63.20,29.09,42.40,19.40,37.2
A014,GO,CO,2025-10,85.00,28.52,39.70,18.80,45.5
A014,GO,CO,2025-11,274.00,26.69,37.60,18.20,66.1
A014,GO,CO,2025-12,318.80,25.19,36.40,19.20,77.1
A015,GO,CO,2025-01,389.00,24.59,35.30,18.40,81.5
A015,GO,CO,2025-02,157.40,24.81,35.40,17.50,76.8
A015,GO,CO,2025-03,0.00,25.08,35.30,19.20,78.2
A015,GO,CO,2025-04,0.00,24.71,34.30,18.60,80.8
A015,GO,CO,2025-05,0.00,23.05,32.90,12.50,73.2
A015,GO,CO,2025-06,0.00,21.78,32.90,10.40,69.2
A015,GO,CO,2025-07,0.00,20.95,34.40,9.80,60.8
A015,GO,CO,2025-08,0.00,22.79,35.90,7.00,50.7
A015,GO,CO,2025-09,0.00,26.31,38.30,13.40,48.2
A015,GO,CO,2025-10,0.00,26.58,39.30,14.00,55.5
A015,GO,CO,2025-11,0.00,29.95,36.30,20.70,53.4
A016,GO,CO,2025-01,172.80,24.65,34.10,18.90,81.4
