codigo_wmo,nome_estacao,uf,regiao,latitude,longitude,altitude_m,dt_fundacao
A001,BRASILIA,DF,CO,-15.789444,-47.925833,1160.96,07/05/00
A042,BRAZLANDIA,DF,CO,-15.599722,-48.131111,1143.00,19/07/17
A045,AGUAS EMENDADAS,DF,CO,-15.596389,-47.625833,1030.36,03/10/08
A046,GAMA (PONTE ALTA),DF,CO,-15.935278,-48.137500,990.00,01/10/14
A047,PARANOA (COOPA-DF),DF,CO,-16.012222,-47.557500,1043.00,07/02/17
A002,GOIANIA,GO,CO,-16.642778,-49.220278,727.30,29/05/01
A003,MORRINHOS,GO,CO,-17.745000,-49.101667,751.09,25/05/01
A005,PORANGATU,GO,CO,-13.309444,-49.117500,365.00,04/06/01
A011,SAO SIMAO,GO,CO,-18.969167,-50.633333,492.45,15/07/06
A012,LUZIANIA,GO,CO,-16.260556,-47.966944,1000.82,21/10/06
A013,ARAGARCAS,GO,CO,-15.902778,-52.245278,327.35,13/07/07
A014,GOIAS,GO,CO,-15.939722,-50.141389,512.86,18/07/07
A015,ITAPACI,GO,CO,-14.979722,-49.539444,551.00,03/02/07
A016,JATAI,GO,CO,-17.923611,-51.717500,670.08,23/05/07
A017,POSSE,GO,CO,-14.089167,-46.366389,830.00,18/04/07
A022,GOIANESIA,GO,CO,-15.220278,-48.990000,667.01,02/06/07
A023,CAIAPONIA,GO,CO,-16.966944,-51.817500,740.10,21/05/07
A024,ALTO PARAISO DE GOIAS,GO,CO,-14.133056,-47.523333,1264.70,04/06/07
A025,RIO VERDE,GO,CO,-17.785278,-50.965000,780.11,17/05/07
A026,MINEIROS,GO,CO,-17.454722,-52.601111,862.00,24/11/07
A027,PARAUNA,GO,CO,-16.962500,-50.425556,678.74,29/03/08
A028,IPORA,GO,CO,-16.423056,-51.148889,610.41,24/06/13
A029,EDEIA,GO,CO,-17.336944,-49.914722,608.00,26/08/17
A031,SAO MIGUEL DO ARAGUAIA,GO,CO,-12.820556,-50.335833,210.00,29/06/17
A032,MONTE ALEGRE DE GOIAS,GO,CO,-13.253611,-46.890278,552.00,07/06/07
A033,PIRES DO RIO,GO,CO,-17.304167,-48.284167,757.27,12/10/07
A034,CATALAO,GO,CO,-18.154722,-47.927500,900.72,31/01/08
A035,ITUMBIARA,GO,CO,-18.409722,-49.191944,491.17,01/11/07
A036,CRISTALINA,GO,CO,-16.785000,-47.613056,1211.08,14/12/07
A037,SILVANIA,GO,CO,-16.679722,-48.618056,952.00,08/10/10
A056,CRISTALINA (FAZENDA SANTA MONICA),GO,CO,-16.399444,-47.625833,932.00,25/01/18
A702,CAMPO GRANDE,MS,CO,-20.447222,-54.722500,528.47,10/09/01
A703,PONTA PORA,MS,CO,-22.552500,-55.716389,668.00,07/09/01
A704,TRES LAGOAS,MS,CO,-20.795000,-51.713333,328.94,03/09/01
A709,IVINHEMA,MS,CO,-22.300556,-53.822778,377.36,08/02/03
A710,PARANAIBA,MS,CO,-19.695556,-51.181667,408.06,10/11/06
A717,NHUMIRIM,MS,CO,-18.988611,-56.622778,102.26,02/08/06
