codigo_wmo,dt_hora_utc,precipitacao_mm,pressao_hpa,pressao_max_hpa,pressao_min_hpa,radiacao_kj_m2,temp_ar_c,temp_orvalho_c,temp_max_c,temp_min_c,umidade_rel_pct,umidade_max_pct,umidade_min_pct,vento_dir_graus,vento_rajada_ms,vento_vel_ms
A001,2025-01-01 00:00,0.00,886.10,886.10,885.50,,20.80,19.50,20.90,20.70,92,92,90,8,3.60,1.80
A001,2025-01-01 01:00,0.00,886.30,886.40,886.00,,20.70,19.30,20.80,20.50,92,93,92,4,3.40,1.90
A001,2025-01-01 02:00,0.00,886.70,886.70,886.20,,20.60,19.10,20.80,20.50,91,92,91,3,3.70,1.40
A001,2025-01-01 03:00,0.00,886.40,886.70,886.40,,20.30,18.90,20.60,20.10,92,92,91,345,3.00,1.10
A001,2025-01-01 04:00,0.00,885.90,886.40,885.90,,19.80,18.90,20.30,19.70,94,95,92,228,2.00,0.30
A001,2025-01-01 05:00,0.00,885.30,885.90,885.30,,19.40,18.50,19.80,19.40,94,95,94,339,1.70,0.90
A001,2025-01-01 06:00,0.00,885.30,885.40,885.30,,19.70,18.70,19.90,19.40,94,95,94,156,1.50,0.40
A001,2025-01-01 07:00,0.00,885.20,885.30,885.20,,20.00,19.10,20.00,19.50,95,95,94,159,1.40,0.70
A001,2025-01-01 08:00,0.00,885.40,885.40,885.20,,19.90,19.00,20.00,19.80,95,95,94,142,2.30,1.40
A001,2025-01-01 09:00,0.00,886.00,886.00,885.30,1.70,19.90,19.10,19.90,19.80,95,96,95,121,2.30,0.60
A001,2025-01-01 10:00,0.00,886.90,886.90,886.00,108.80,20.20,19.30,20.20,19.70,94,96,94,115,2.90,1.60
A001,2025-01-01 11:00,0.00,887.60,887.60,886.90,685.80,21.50,19.10,21.60,20.20,86,95,86,60,2.80,1.40
A001,2025-01-01 12:00,0.00,887.90,887.90,887.50,1294.90,22.80,18.90,22.80,21.30,79,88,78,65,3.30,1.10
A001,2025-01-01 13:00,0.00,887.90,888.00,887.80,1773.40,23.50,18.80,24.50,22.50,75,80,73,2,4.30,1.60
A001,2025-01-01 14:00,0.00,887.80,888.00,887.70,1677.60,23.90,18.20,24.80,23.50,71,75,68,347,4.30,1.40
A001,2025-01-01 15:00,0.00,887.40,887.80,887.40,933.60,23.20,19.70,24.10,22.90,81,83,70,124,4.80,2.50
